Metric,Value
statistical_comparisons_abs_change_1d_control_mean,0.0022273054008431527
statistical_comparisons_abs_change_1d_control_std,0.0316666107035999
statistical_comparisons_abs_change_1d_p_value,2.2086900881231693e-05
statistical_comparisons_abs_change_1d_is_significant,True
statistical_comparisons_abs_change_1d_effect_size,2.150507934325898
statistical_comparisons_abs_change_3d_outbreak_mean,-0.408306317782033
statistical_comparisons_abs_change_3d_outbreak_std,0.33962277486611875
statistical_comparisons_abs_change_3d_control_mean,0.011230833708129878
statistical_comparisons_abs_change_3d_control_std,0.06997084503718205
statistical_comparisons_abs_change_3d_p_value,1.7749330942377812e-07
statistical_comparisons_abs_change_3d_is_significant,True
statistical_comparisons_abs_change_3d_effect_size,2.78580119983196
statistical_comparisons_abs_change_5d_outbreak_mean,-0.597769045905601
statistical_comparisons_abs_change_5d_outbreak_std,0.3666410894344907
statistical_comparisons_abs_change_5d_control_mean,0.027025941954501524
statistical_comparisons_abs_change_5d_control_std,0.0902295303359866
statistical_comparisons_abs_change_5d_p_value,7.4816992232467e-12
statistical_comparisons_abs_change_5d_is_significant,True
statistical_comparisons_abs_change_5d_effect_size,3.702571925957127
statistical_comparisons_abs_change_7d_outbreak_mean,-0.7125874286456652
statistical_comparisons_abs_change_7d_outbreak_std,0.3545782683968346
statistical_comparisons_abs_change_7d_control_mean,0.03126222913565142
statistical_comparisons_abs_change_7d_control_std,0.11299676559203892
statistical_comparisons_abs_change_7d_p_value,1.1223608740058541e-11
statistical_comparisons_abs_change_7d_is_significant,True
statistical_comparisons_abs_change_7d_effect_size,4.093804697838392
