pen,datespan,days_before_removal,date,upright_tails,hanging_tails,posture_diff,group
Pen 4,221226_230126,1,2023-01-19,0.22026717074211724,0.7797328292578828,-0.5594656585157655,outbreak
Pen 4,221226_230126,2,2023-01-18,0.22762608309060509,0.7723739169093949,-0.5447478338187898,outbreak
Pen 4,221226_230126,3,2023-01-17,0.23778269533074955,0.7622173046692504,-0.524434609338501,outbreak
Pen 4,221226_230126,4,2023-01-16,0.3674908684323949,0.6325091315676051,-0.2650182631352103,outbreak
Pen 4,221226_230126,5,2023-01-15,0.5854029513877758,0.4145970486122243,0.17080590277555138,outbreak
Pen 4,221226_230126,6,2023-01-14,0.8009511623207649,0.19904883767923506,0.6019023246415299,outbreak
Pen 4,221226_230126,7,2023-01-13,0.8935887688536398,0.10641123114636024,0.7871775377072795,outbreak
Pen 4,221226_230126,8,2023-01-12,0.9018872018586306,0.09811279814136947,0.803774403717261,outbreak
Pen 4,221226_230126,9,2023-01-11,0.8962426629047485,0.10375733709525152,0.7924853258094969,outbreak
Pen 4,221226_230126,10,2023-01-10,0.9100839217237474,0.08991607827625264,0.8201678434474947,outbreak
Pen 4,230227_230406,0,2023-03-23,0.6048148312533761,0.3951851687466239,0.20962966250675222,outbreak
Pen 4,230227_230406,1,2023-03-22,0.6166055234997702,0.38339447650022973,0.2332110469995405,outbreak
Pen 4,230227_230406,2,2023-03-21,0.6222285885869191,0.3777714114130808,0.24445717717383833,outbreak
Pen 4,230227_230406,3,2023-03-20,0.620531049178434,0.3794689508215659,0.241062098356868,outbreak
Pen 4,230227_230406,4,2023-03-19,0.6246793870546353,0.37532061294536473,0.24935877410927065,outbreak
Pen 4,230227_230406,5,2023-03-18,0.6403585733174726,0.35964142668252747,0.2807171466349451,outbreak
Pen 4,230227_230406,6,2023-03-17,0.7043347803536092,0.2956652196463908,0.40866956070721844,outbreak
Pen 4,230227_230406,7,2023-03-16,0.7669515208510114,0.2330484791489887,0.5339030417020226,outbreak
Pen 4,230227_230406,8,2023-03-15,0.8222984340738204,0.17770156592617958,0.6445968681476408,outbreak
Pen 4,230227_230406,9,2023-03-14,0.8408458753065617,0.15915412469343826,0.6816917506131235,outbreak
